,Ingest (hpso_max_mid_band1_Ingest.yml) [Bmax=35000],RCAL (hpso_max_mid_band1_RCal.yml) [Bmax=35000],FastImg (hpso_max_mid_band1_FastImg.yml) [Bmax=35000],ICAL (hpso_max_mid_band1_ICal.yml) [Bmax=35000],DPrepA (hpso_max_mid_band1_DPrepA.yml) [Bmax=35000],DPrepB (hpso_max_mid_band1_DPrepB.yml) [Bmax=35000],DPrepC (hpso_max_mid_band1_DPrepC.yml) [Bmax=35000],Ingest (hpso_4b_Ingest.yml),RCAL (hpso_4b_RCal.yml),PSS (hpso_4b_PSS.yml),FastImg (hpso_4b_FastImg.yml)
-- Parameters --,,,,,,,,,,,
Observation Name,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,obs_4b,obs_4b,obs_4b,obs_4b
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1
Frequency Min [GHz],0.75,0.75,0.75,0.75,0.79,0.75,0.75,0.65,0.65,0.65,0.65
Frequency Max [GHz],0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,PSS,FastImg
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True
Total FoV size [deg],4.165371025783151,11.246501769614511,4.165371025783151,11.246501769614511,3.9437127709105257,4.165371025783151,4.165371025783151,4.4192040102378005,11.93185082764206,(undefined),4.4192040102378005
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),1.6563593637824205,1.7494558308289236,1.7494558308289236,(undefined),(undefined),(undefined),(undefined)
PSF size [arcs],2.809130640941566,2.809130640941566,2.809130640941566,2.809130640941566,2.8014917627771205,2.809130640941566,2.809130640941566,0.7286119653574447,0.7286119653574447,(undefined),0.7286119653574447
Pixel size [arcs],0.5618261281883132,0.5618261281883132,0.9363768803138554,0.5618261281883132,0.5602983525554242,0.5618261281883132,0.5618261281883132,0.14572239307148893,0.14572239307148893,(undefined),0.2428706551191482
Facet side length [pixels],(undefined),12353.818889383712,16014.209671423327,12353.818889383712,10135.575741407167,10676.139780948884,26690.349452372215,(undefined),(undefined),(undefined),(undefined)
Image side length [pixels],26690.34945237221,72063.94352140497,16014.209671423327,72063.94352140497,25338.93935351792,26690.34945237221,26690.34945237221,109174.26005385,294770.502145395,(undefined),65504.55603231001
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),10642.354528477525,11209.946769996328,11209.946769996328,(undefined),(undefined),(undefined),(undefined)
Grid side dimension [lambda],367132.81191144674,367132.81191144674,220279.68714686803,367132.81191144674,368133.87957747537,367132.81191144674,367132.81191144674,1415464.0333548896,1415464.0333548896,(undefined),849278.4200129339
Baselines dimension [lambda],220279.687146868,220279.687146868,220279.687146868,220279.687146868,220880.32774648524,220279.687146868,220279.687146868,849278.4200129338,849278.4200129338,(undefined),849278.4200129338
Epsilon (approx),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,(undefined),0.342997170285018
Qbw,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,(undefined),4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Station/antenna diameter,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],5.707759985172489,2.2196844386781898,1.0,2.2196844386781898,5.857989871185695,5.707759985172489,3.132029373784167,6.0200000000000005,2.24,(undefined),1.0
Coalesce time full1 [s],3.805173323448326,1.2683911078161085,1.0,1.2683911078161085,3.9053265807904634,3.805173323448326,2.0880195825227776,4.0600000000000005,1.4000000000000001,,1.0
Coalesce time full2 [s],2.8538799925862444,0.9512933308620815,1.0,0.9512933308620815,2.9289949355928475,2.8538799925862444,1.5660146868920835,2.9400000000000004,1.12,,1.0
Coalesce time full3 [s],1.902586661724163,0.6341955539080543,1.0,0.6341955539080543,1.9526632903952317,1.902586661724163,1.0440097912613888,1.9600000000000002,0.7000000000000001,,1.0
Coalesce time full4 [s],0.9512933308620815,0.31709777695402713,0.7345987329001482,0.31709777695402713,0.9763316451976158,0.9512933308620815,0.5220048956306944,1.12,0.42000000000000004,,0.8400000000000001
Coalesce time full5 [s],0.6341955539080543,0.31709777695402713,0.48973248860009877,0.31709777695402713,0.6508877634650773,0.6341955539080543,0.3480032637537963,0.8400000000000001,0.28,,0.56
Coalesce time full6 [s],,,,,,,,0.42000000000000004,0.14,,0.42000000000000004
Coalesce time full7 [s],,,,,,,,0.28,0.14,,0.28
Coalesce time full8 [s],,,,,,,,0.28,0.14,,0.14
Coalesce time full9 [s],,,,,,,,0.14,0.14,,0.14
Coalesce time full10 [s],,,,,,,,0.14,0.14,,0.14
Coalesce time full11 [s],,,,,,,,0.14,0.14,,0.14
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,3.132029373784167,(undefined),(undefined),(undefined),(undefined)
Coalesce time pred1 [s],,8.561639977758732,1.0,8.561639977758732,10.0,9.830031085574841,2.0880195825227776,,,,
Coalesce time pred2 [s],,6.341955539080542,1.0,6.341955539080542,7.485209279848388,7.293248869942624,1.5660146868920835,,,,
Coalesce time pred3 [s],,4.122271100402353,1.0,4.122271100402353,4.88165822598808,4.756466654310407,1.0440097912613888,,,,
Coalesce time pred4 [s],,2.536782215632217,0.7345987329001482,2.536782215632217,2.9289949355928475,2.8538799925862444,0.5220048956306944,,,,
Coalesce time pred5 [s],,1.5854888847701356,0.48973248860009877,1.5854888847701356,1.9526632903952317,1.902586661724163,0.3480032637537963,,,,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,3.132029373784167,(undefined),(undefined),(undefined),(undefined)
Coalesce time bw1 [s],,8.561639977758732,1.0,8.561639977758732,10.0,9.830031085574841,2.0880195825227776,,,,
Coalesce time bw2 [s],,6.341955539080542,1.0,6.341955539080542,7.485209279848388,7.293248869942624,1.5660146868920835,,,,
Coalesce time bw3 [s],,4.122271100402353,1.0,4.122271100402353,4.88165822598808,4.756466654310407,1.0440097912613888,,,,
Coalesce time bw4 [s],,2.536782215632217,0.7345987329001482,2.536782215632217,2.9289949355928475,2.8538799925862444,0.5220048956306944,,,,
Coalesce time bw5 [s],,1.5854888847701356,0.48973248860009877,1.5854888847701356,1.9526632903952317,1.902586661724163,0.3480032637537963,,,,
Combined samples full0,18.0,7.0,4.083862203459288,7.0,18.0,18.0,18.0,43.0,16.0,(undefined),7.142857142857142
Combined samples full1,12.0,4.0,4.083862203459288,4.0,12.0,12.0,12.0,29.0,10.0,,7.142857142857142
Combined samples full2,9.0,3.0,4.083862203459288,3.0,9.0,9.0,9.0,21.0,8.0,,7.142857142857142
Combined samples full3,6.0,2.0,4.083862203459288,2.0,6.0,6.0,6.0,14.0,5.0,,7.142857142857142
Combined samples full4,3.0,1.0,3.0,1.0,3.0,3.0,3.0,8.0,3.0,,6.0
Combined samples full5,2.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,,4.0
Combined samples full6,,,,,,,,3.0,1.0,,3.0
Combined samples full7,,,,,,,,2.0,1.0,,2.0
Combined samples full8,,,,,,,,2.0,1.0,,1.0
Combined samples full9,,,,,,,,1.0,1.0,,1.0
Combined samples full10,,,,,,,,1.0,1.0,,1.0
Combined samples full11,,,,,,,,1.0,1.0,,1.0
Combined samples facet0,(undefined),40.0,4.083862203459288,40.0,47.0,47.0,18.0,(undefined),(undefined),(undefined),(undefined)
Combined samples facet1,,27.0,4.083862203459288,27.0,31.0,31.0,12.0,,,,
Combined samples facet2,,20.0,4.083862203459288,20.0,23.0,23.0,9.0,,,,
Combined samples facet3,,13.0,4.083862203459288,13.0,15.0,15.0,6.0,,,,
Combined samples facet4,,8.0,3.0,8.0,9.0,9.0,3.0,,,,
Combined samples facet5,,5.0,2.0,5.0,6.0,6.0,2.0,,,,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time pred5 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time pred6 [s],,,,,,,,10.0,10.0,,10.0
Kernel time pred7 [s],,,,,,,,10.0,10.0,,10.0
Kernel time pred8 [s],,,,,,,,10.0,10.0,,10.0
Kernel time pred9 [s],,,,,,,,10.0,10.0,,10.0
Kernel time pred10 [s],,,,,,,,10.0,10.0,,10.0
Kernel time pred11 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time backward5 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
Kernel time backward6 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward7 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward8 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward9 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward10 [s],,,,,,,,10.0,10.0,,10.0
Kernel time backward11 [s],,,,,,,,10.0,10.0,,10.0
Visibilities kernel pred0,(undefined),4.744292224147583,110.45193308371326,4.744292224147583,4.031923637403674,4.20533232660899,539.1645651913896,(undefined),(undefined),(undefined),(undefined)
Visibilities kernel pred1,,7.864476405891982,165.57322436944472,7.864476405891982,5.970704815187685,6.176311961852562,654.8245772708251,,,,
Visibilities kernel pred2,,13.351113839551857,220.51127892244568,13.351113839551857,10.240447623954601,10.64521241223649,735.2924577528607,,,,
Visibilities kernel pred3,,28.243952132277595,329.2481645586568,28.2439536267677,21.733923461879662,22.427430856401227,846.1567564127137,,,,
Visibilities kernel pred4,,76.48912495127233,729.9930557924602,76.48912899858978,57.71290324978522,58.5928541354879,1454.645413946887,,,,
Visibilities kernel pred5,,171.3309241557776,1461.370586381678,171.3309332215192,121.19313539946324,123.04107498229207,2181.96812092033,,,,
Visibilities kernel bw0,(undefined),4.744292224147583,110.45193308371326,4.744292224147583,4.031923637403674,4.20533232660899,539.1645651913896,(undefined),(undefined),(undefined),(undefined)
Visibilities kernel bw1,,7.864476405891982,165.57322436944472,7.864476405891982,5.970704815187685,6.176311961852562,654.8245772708251,,,,
Visibilities kernel bw2,,13.351113839551857,220.51127892244568,13.351113839551857,10.240447623954601,10.64521241223649,735.2924577528607,,,,
Visibilities kernel bw3,,28.243952132277595,329.2481645586568,28.2439536267677,21.733923461879662,22.427430856401227,846.1567564127137,,,,
Visibilities kernel bw4,,76.48912495127233,729.9930557924602,76.48912899858978,57.71290324978522,58.5928541354879,1454.645413946887,,,,
Visibilities kernel bw5,,171.3309241557776,1461.370586381678,171.3309332215192,121.19313539946324,123.04107498229207,2181.96812092033,,,,
Oversampling used pred0,(undefined),4.6074809895215125,52.76036227205407,4.6074809895215125,3.937426488317108,4.101227722426444,63.986859719956286,(undefined),(undefined),(undefined),(undefined)
Oversampling used pred1,,7.4553550885426745,59.28203840135187,7.4553550885426745,5.743580488549632,5.931908238629688,63.99787403212776,,,,
Oversampling used pred2,,12.135996430747845,62.01386061412337,12.135996430747845,9.532028029128995,9.878123357139401,63.999401309038674,,,,
Oversampling used pred3,,22.978872330536085,63.64164621102805,22.97887329599964,18.550150996453084,19.04383533941185,63.999895538875236,,,,
Oversampling used pred4,,44.811617084161945,63.99934919997455,44.811618307202565,38.20966830181622,38.56460009819297,63.99999999280149,,,,
Oversampling used pred5,,59.69101434274286,63.9999999935249,59.691014957939004,54.50950923683352,54.78172144168917,63.99999999999992,,,,
Oversampling used bw0,(undefined),4.6074809895215125,52.76036227205407,4.6074809895215125,3.937426488317108,4.101227722426444,63.986859719956286,(undefined),(undefined),(undefined),(undefined)
Oversampling used bw1,,7.4553550885426745,59.28203840135187,7.4553550885426745,5.743580488549632,5.931908238629688,63.99787403212776,,,,
Oversampling used bw2,,12.135996430747845,62.01386061412337,12.135996430747845,9.532028029128995,9.878123357139401,63.999401309038674,,,,
Oversampling used bw3,,22.978872330536085,63.64164621102805,22.97887329599964,18.550150996453084,19.04383533941185,63.999895538875236,,,,
Oversampling used bw4,,44.811617084161945,63.99934919997455,44.811618307202565,38.20966830181622,38.56460009819297,63.99999999280149,,,,
Oversampling used bw5,,59.69101434274286,63.9999999935249,59.691014957939004,54.50950923683352,54.78172144168917,63.99999999999992,,,,
-- Channelization --,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),245.47118581314163,686.5678535110338,245.47118581314163,161.27694549614694,212.15163821235151,966.1341388330104,(undefined),(undefined),(undefined),(undefined)
"Channels predict, no-smear1",,368.1476973316677,1029.7926887245121,368.1476973316677,241.8693256283889,318.16837841260434,1449.1421150720817,,,,
"Channels predict, no-smear2",,490.8242056903825,1373.0175228073604,490.8242056903825,322.4617028333052,424.1851149568879,1932.150090508395,,,,
"Channels predict, no-smear3",,736.1772192465338,2059.467189842739,736.1772192465338,483.6464543146965,636.2185843884657,2898.1660405711846,,,,
"Channels predict, no-smear4",,1226.8832425653668,3432.366522554794,1226.8832425653668,806.0159537629055,1060.2855188611977,4830.197939748573,,,,
"Channels predict, no-smear5",,1717.5892644368723,4805.265854754485,1717.5892644368723,1128.3854518718204,1484.3524516621246,6762.229838565731,,,,
"Channels backward, no-smear0",(undefined),245.47118581314163,686.5678535110338,245.47118581314163,161.27694549614694,212.15163821235151,966.1341388330104,(undefined),(undefined),(undefined),(undefined)
"Channels backward, no-smear1",,368.1476973316677,1029.7926887245121,368.1476973316677,241.8693256283889,318.16837841260434,1449.1421150720817,,,,
"Channels backward, no-smear2",,490.8242056903825,1373.0175228073604,490.8242056903825,322.4617028333052,424.1851149568879,1932.150090508395,,,,
"Channels backward, no-smear3",,736.1772192465338,2059.467189842739,736.1772192465338,483.6464543146965,636.2185843884657,2898.1660405711846,,,,
"Channels backward, no-smear4",,1226.8832425653668,3432.366522554794,1226.8832425653668,806.0159537629055,1060.2855188611977,4830.197939748573,,,,
"Channels backward, no-smear5",,1717.5892644368723,4805.265854754485,1717.5892644368723,1128.3854518718204,1484.3524516621246,6762.229838565731,,,,
Frequencies predict ifft,30000.0,200.0,40.0,200.0,200,160.0,200.0,65536.0,200.0,(undefined),40.0
Frequencies predict kernels0,(undefined),51.74031746268454,62.15987663979345,51.74031746268454,40.0,50.44824564041579,142.1229041694804,(undefined),(undefined),(undefined),(undefined)
Frequencies predict kernels1,,54.67582100148451,62.19560515574235,54.67582100148451,40.50934238335578,52.40502101485657,175.53014156014976,,,,
Frequencies predict kernels2,,57.96759473145158,62.26518341904197,57.96759473145158,42.06832835477133,54.63614633976616,208.42763453458608,,,,
Frequencies predict kernels3,,63.22958884068761,62.55060503080913,63.22958549498057,45.58505724833075,59.640650018995345,271.67885825956904,,,,
Frequencies predict kernels4,,63.22958884068761,64.00659932608862,63.22958549498057,47.681739993418624,63.40776852376074,316.06726874707624,,,,
Frequencies predict kernels5,,63.22958884068761,67.14259813588434,63.22958549498057,47.681739993418624,63.40776852376074,316.06726874707624,,,,
Frequencies predict de-grid0,30000.0,245.47118581314163,686.5678535110338,245.47118581314163,161.27694549614694,212.15163821235151,24000.0,65536.0,(undefined),(undefined),(undefined)
Frequencies predict de-grid1,30000.0,368.1476973316677,1029.7926887245121,368.1476973316677,241.8693256283889,318.16837841260434,24000.0,65536.0,,,
Frequencies predict de-grid2,30000.0,490.8242056903825,1373.0175228073604,490.8242056903825,322.4617028333052,424.1851149568879,24000.0,65536.0,,,
Frequencies predict de-grid3,30000.0,736.1772192465338,2059.467189842739,736.1772192465338,483.6464543146965,636.2185843884657,24000.0,65536.0,,,
Frequencies predict de-grid4,30000.0,1226.8832425653668,3432.366522554794,1226.8832425653668,806.0159537629055,1060.2855188611977,24000.0,65536.0,,,
Frequencies predict de-grid5,30000.0,1717.5892644368723,4805.265854754485,1717.5892644368723,1128.3854518718204,1484.3524516621246,24000.0,65536.0,,,
Frequencies predict de-grid6,,,,,,,,65536.0,,,
Frequencies predict de-grid7,,,,,,,,65536.0,,,
Frequencies predict de-grid8,,,,,,,,65536.0,,,
Frequencies predict de-grid9,,,,,,,,65536.0,,,
Frequencies predict de-grid10,,,,,,,,65536.0,,,
Frequencies predict de-grid11,,,,,,,,65536.0,,,
Frequencies total0,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,(undefined),32298.09762400416
Frequencies total1,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,,32298.09762400416
Frequencies total2,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,,32298.09762400416
Frequencies total3,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,,32298.09762400416
Frequencies total4,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,,32298.09762400416
Frequencies total5,30000.0,10018.699451703857,4805.265854754486,10018.699451703857,2820.825313173438,3710.703844154547,24000.0,65536.0,65536.0,,32298.09762400416
Frequencies total6,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies total7,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies total8,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies total9,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies total10,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies total11,,,,,,,,65536.0,65536.0,,32298.09762400416
Frequencies backward kernels0,(undefined),51.74031746268454,62.15987663979345,51.74031746268454,40.0,50.44824564041579,142.1229041694804,(undefined),(undefined),(undefined),(undefined)
Frequencies backward kernels1,,54.67582100148451,62.19560515574235,54.67582100148451,40.50934238335578,52.40502101485657,175.53014156014976,,,,
Frequencies backward kernels2,,57.96759473145158,62.26518341904197,57.96759473145158,42.06832835477133,54.63614633976616,208.42763453458608,,,,
Frequencies backward kernels3,,63.22958884068761,62.55060503080913,63.22958549498057,45.58505724833075,59.640650018995345,271.67885825956904,,,,
Frequencies backward kernels4,,63.22958884068761,64.00659932608862,63.22958549498057,47.681739993418624,63.40776852376074,316.06726874707624,,,,
Frequencies backward kernels5,,63.22958884068761,67.14259813588434,63.22958549498057,47.681739993418624,63.40776852376074,316.06726874707624,,,,
Frequencies backward grid0,30000.0,245.47118581314163,686.5678535110338,245.47118581314163,161.27694549614694,212.15163821235151,24000.0,65536.0,(undefined),(undefined),(undefined)
Frequencies backward grid1,30000.0,368.1476973316677,1029.7926887245121,368.1476973316677,241.8693256283889,318.16837841260434,24000.0,65536.0,,,
Frequencies backward grid2,30000.0,490.8242056903825,1373.0175228073604,490.8242056903825,322.4617028333052,424.1851149568879,24000.0,65536.0,,,
Frequencies backward grid3,30000.0,736.1772192465338,2059.467189842739,736.1772192465338,483.6464543146965,636.2185843884657,24000.0,65536.0,,,
Frequencies backward grid4,30000.0,1226.8832425653668,3432.366522554794,1226.8832425653668,806.0159537629055,1060.2855188611977,24000.0,65536.0,,,
Frequencies backward grid5,30000.0,1717.5892644368723,4805.265854754485,1717.5892644368723,1128.3854518718204,1484.3524516621246,24000.0,65536.0,,,
Frequencies backward grid6,,,,,,,,65536.0,,,
Frequencies backward grid7,,,,,,,,65536.0,,,
Frequencies backward grid8,,,,,,,,65536.0,,,
Frequencies backward grid9,,,,,,,,65536.0,,,
Frequencies backward grid10,,,,,,,,65536.0,,,
Frequencies backward grid11,,,,,,,,65536.0,,,
Frequencies backward fft,65536,40,40,40,200,160,24000,65536,40,(undefined),40
Channels out,65536,40,40,40,40,160,24000,65536,40,128,40
-- Visibility --,,,,,,,,,,,
