,hpso01 (Ingest) [] [Bmax=65000],hpso01 (RCAL) [] [Bmax=65000],hpso01 (FastImg) [] [Bmax=65000],hpso01 (ICAL) [] [Bmax=65000],hpso01 (DPrepA) [] [Bmax=65000],hpso01 (DPrepB) [] [Bmax=65000],hpso01 (DPrepC) [] [Bmax=65000],hpso01 (DPrepD) [] [Bmax=65000],hpso02a (Ingest) [] [Bmax=65000],hpso02a (RCAL) [] [Bmax=65000],hpso02a (FastImg) [] [Bmax=65000],hpso02a (ICAL) [] [Bmax=65000],hpso02a (DPrepA) [] [Bmax=65000],hpso02a (DPrepB) [] [Bmax=65000],hpso02a (DPrepC) [] [Bmax=65000],hpso02a (DPrepD) [] [Bmax=65000],hpso02b (Ingest) [] [Bmax=65000],hpso02b (RCAL) [] [Bmax=65000],hpso02b (FastImg) [] [Bmax=65000],hpso02b (ICAL) [] [Bmax=65000],hpso02b (DPrepA) [] [Bmax=65000],hpso02b (DPrepB) [] [Bmax=65000],hpso02b (DPrepC) [] [Bmax=65000],hpso02b (DPrepD) [] [Bmax=65000],hpso04a (Ingest) [] [Bmax=65000],hpso04a (RCAL) [] [Bmax=65000],hpso04a (FastImg) [] [Bmax=65000],hpso04a (PSS) [] [Bmax=65000],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [] [Bmax=65000],hpso05a (RCAL) [] [Bmax=65000],hpso05a (FastImg) [] [Bmax=65000],hpso05a (PST) [] [Bmax=65000],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [] [Bmax=65000],max_low (RCAL) [] [Bmax=65000],max_low (FastImg) [] [Bmax=65000],max_low (ICAL) [] [Bmax=65000],max_low (DPrepA) [] [Bmax=65000],max_low (DPrepA_Image) [] [Bmax=65000],max_low (DPrepB) [] [Bmax=65000],max_low (DPrepC) [] [Bmax=65000],max_low (DPrepD) [] [Bmax=65000],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies predict de-grid6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,2279.3937617600327,7934.709112418636,,65536.0,1308.5510266136719,4555.149571981683,,,,,,65536.0,4852.792424740647,12994.767002306893,,,,,,,,,,,,,,,,,,,,,,,65536.0,2279.3937617600327,7934.709112418636,,65536.0,5310.870598018509,8533.059610522045,5310.870598018509,6589.364714909236,6589.364714909236,,,,,,,,,,,,65536.0,4302.822860918474,11522.07660515859,4097.939167681737,8897.529385581967,3187.344975094388,65536.0,4302.822860918474,11522.07660515859,4302.822860918474,8897.529385581967,3187.344975094388,65536.0,4302.822860918474,11522.07660515859,4302.822860918474,8897.529385581967,3187.344975094388,65536.0,4492.14487029268,9623.347321450758,4791.606129302503,7431.301670826804,7431.301670826804,65536.0,4492.14487029268,9623.347321450758,4492.14487029268,7431.301670826804,7431.301670826804,,,,,,,,,,65536.0,8136.644346788232,23966.947379607296,8136.644346788232,8287.312773910124,8287.312773910124,6629.960074898007,65536.0,,65536.0,4852.792424740647,12994.767002306893,4852.792424740647,4493.349155498813,4493.349155498813,3594.7409819341606,65536.0,,65536.0,4294.468418808843,9199.871634502322,4294.468418808843,7104.287239658536,4241.452969339363,4241.452969339363,65536.0,,65536.0,3373.146979720034,7226.156552362973,3373.146979720034,5580.153893956841,5580.153893956841,5580.153893956841,65536.0,,65536.0,3554.652417693739,5711.318597358007,3554.652417693739,4410.370382114309,4410.370382114309,4410.370382114309,65536.0,,65536.0,2842.1699742981605,3680.537453067108,2842.1699742981605,2842.1699742981605,2842.1699742981605,2842.1699742981605,65536.0,
Frequencies predict de-grid7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,3108.1952257872913,10819.98888341114,,65536.0,1784.3486542606388,6211.528487522512,,,,,,65536.0,6617.332109286025,17720.024712527153,,,,,,,,,,,,,,,,,,,,,,,65536.0,3108.1952257872913,10819.98888341114,,65536.0,7242.02255073392,11635.916658048058,7242.02255073392,8985.423618891371,8985.423618891371,,,,,,,,,,,,65536.0,5867.389245002712,15711.826166797146,5588.002390765619,12132.898140513342,4346.283038268417,65536.0,5867.389245002712,15711.826166797146,5867.389245002712,12132.898140513342,4346.283038268417,65536.0,5867.389245002712,15711.826166797146,5867.389245002712,12132.898140513342,4346.283038268417,65536.0,6125.569919126458,13122.664169389358,6533.926181262959,10133.511009835074,10133.511009835074,65536.0,6125.569919126458,13122.664169389358,6125.569919126458,10133.511009835074,10133.511009835074,,,,,,,,,,65536.0,11095.224369344074,32682.001227291934,11095.224369344074,11300.681315299544,11300.681315299544,9040.654909467647,65536.0,,65536.0,6617.332109286025,17720.024712527153,6617.332109286025,6127.1821970076,6127.1821970076,4901.807415993877,65536.0,,65536.0,5856.014384591291,12545.200586593011,5856.014384591291,9687.58550298644,5783.720589892431,5783.720589892431,65536.0,,65536.0,4599.682554833822,9853.786516552169,4599.682554833822,7609.237437121445,7609.237437121445,7609.237437121445,65536.0,,65536.0,4847.205426864331,7788.113853313122,4847.205426864331,6014.093559978062,6014.093559978062,6014.093559978062,65536.0,,65536.0,3875.654121849516,5018.882501854311,3875.654121849516,3875.654121849516,3875.654121849516,3875.654121849516,65536.0,
Frequencies predict de-grid8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,3729.7963233982814,12983.948711505005,,65536.0,2141.196874771117,7453.812674154908,,,,,,65536.0,7940.736872177098,21263.967994950704,,,,,,,,,,,,,,,,,,,,,,,65536.0,3729.7963233982814,12983.948711505005,,65536.0,8690.38651503596,13963.059443578572,8690.38651503596,10782.46779670728,10782.46779670728,,,,,,,,,,,,65536.0,7040.8140326478915,18854.138337953413,6705.549807639503,14559.424706440863,5215.486585076437,65536.0,7040.8140326478915,18854.138337953413,7040.8140326478915,14559.424706440863,5215.486585076437,65536.0,7040.8140326478915,18854.138337953413,7040.8140326478915,14559.424706440863,5215.486585076437,65536.0,7350.638705471674,15747.151805311743,7840.666219968584,12160.168013857281,12160.168013857281,65536.0,7350.638705471674,15747.151805311743,7350.638705471674,12160.168013857281,12160.168013857281,,,,,,,,,,65536.0,13314.159385319765,39218.291612546236,13314.159385319765,13560.707720387763,13560.707720387763,10848.676034195598,65536.0,,65536.0,7940.736872177098,21263.967994950704,7940.736872177098,7352.556977594775,7352.556977594775,5882.10724085642,65536.0,,65536.0,7027.173858652879,15054.19730058037,7027.173858652879,11625.059200364434,6940.421305022223,6940.421305022223,65536.0,,65536.0,5519.584235937056,11824.508989539658,5519.584235937056,9131.050094363465,9131.050094363465,9131.050094363465,65536.0,,65536.0,5816.620183612246,9345.710295185787,5816.620183612246,7216.885943249299,7216.885943249299,7216.885943249299,65536.0,,65536.0,4650.767232456038,6022.641288411561,4650.767232456038,4650.767232456038,4650.767232456038,4650.767232456038,65536.0,
Frequencies predict de-grid9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,4558.597786606619,15869.228482295122,,65536.0,2616.9945019612514,9110.191589586182,,,,,,65536.0,9705.276555705954,25989.22570459772,,,,,,,,,,,,,,,,,,,,,,,65536.0,4558.597786606619,15869.228482295122,,65536.0,10621.538467352408,17065.916490898337,10621.538467352408,13178.5267003831,13178.5267003831,,,,,,,,,,,,65536.0,8605.380415891032,23043.887899246274,8195.613029826505,17794.793460927813,6374.424647105446,65536.0,8605.380415891032,23043.887899246274,8605.380415891032,17794.793460927813,6374.424647105446,65536.0,8605.380415891032,23043.887899246274,8605.380415891032,17794.793460927813,6374.424647105446,65536.0,8984.063753727927,19246.46865299321,9582.98627137248,14862.377352528038,14862.377352528038,65536.0,8984.063753727927,19246.46865299321,8984.063753727927,14862.377352528038,14862.377352528038,,,,,,,,,,65536.0,16272.739405947037,47933.3454593651,16272.739405947037,16574.07625990824,16574.07625990824,13259.37086640695,65536.0,,65536.0,9705.276555705954,25989.22570459772,9705.276555705954,8986.39001802265,8986.39001802265,7189.17367354657,65536.0,,65536.0,8588.719823841986,18399.526252410626,8588.719823841986,14208.357463391494,8482.688925008839,8482.688925008839,65536.0,,65536.0,6746.119810588606,14452.138953543963,6746.119810588606,11160.133637244448,11160.133637244448,11160.133637244448,65536.0,,65536.0,7109.173192494209,11422.505550923552,7109.173192494209,8820.609120916493,8820.609120916493,8820.609120916493,65536.0,,65536.0,5684.251379877336,7360.986337100881,5684.251379877336,5684.251379877336,5684.251379877336,5684.251379877336,65536.0,
Frequencies predict de-grid10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,5387.399249625821,18754.50825304814,,65536.0,3092.79212904381,10766.570504945328,,,,,,65536.0,11469.816239026184,30714.483414470946,,,,,,,,,,,,,,,,,,,,,,,65536.0,5387.399249625821,18754.50825304814,,65536.0,12552.690419580154,20168.77353812235,12552.690419580154,15574.585603994132,15574.585603994132,,,,,,,,,,,,65536.0,9387.663607423423,25138.762679823107,8940.644640851984,19412.47783815273,6953.893678012652,65536.0,9387.663607423423,25138.762679823107,9387.663607423423,19412.47783815273,6953.893678012652,65536.0,9387.663607423423,25138.762679823107,9387.663607423423,19412.47783815273,6953.893678012652,65536.0,10617.48880184872,22745.78550066082,11325.3063226907,17564.586691076533,17564.586691076533,65536.0,10617.48880184872,22745.78550066082,10617.48880184872,17564.586691076533,17564.586691076533,,,,,,,,,,65536.0,19231.31942619064,56648.39930605967,19231.31942619064,19587.444798963337,19587.444798963337,15670.065698076485,65536.0,,65536.0,11469.816239026184,30714.483414470946,11469.816239026184,10620.22305818207,10620.22305818207,8496.240105920024,65536.0,,65536.0,10150.265788948842,21744.85520408951,10150.265788948842,16791.65572627984,10024.956544852792,10024.956544852792,65536.0,,65536.0,7972.655385119951,17079.768917450925,7972.655385119951,13189.217180049714,13189.217180049714,13189.217180049714,65536.0,,65536.0,8401.726201373445,13499.300806706757,8401.726201373445,10424.332298505287,10424.332298505287,10424.332298505287,65536.0,,65536.0,6717.735527277223,8699.33138572213,6717.735527277223,6717.735527277223,6717.735527277223,6717.735527277223,65536.0,
Frequencies predict de-grid11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,6216.200712555311,21639.78802367515,,65536.0,3568.589756079591,12422.949420286403,,,,,,65536.0,13234.35592217072,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,6216.200712555311,21639.78802367515,,65536.0,14483.84237175141,23271.63058530816,14483.84237175141,17970.644507427318,17970.644507427318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,12250.91384989669,26245.102348162807,13067.626373872286,20266.796029628254,20266.796029628254,65536.0,12250.91384989669,26245.102348162807,12250.91384989669,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,22189.899446141317,65363.45315305577,22189.899446141317,22600.813337856664,22600.813337856664,18080.76052947859,65536.0,,65536.0,13234.35592217072,35439.74112395846,13234.35592217072,12254.056098219922,12254.056098219922,9803.306538131448,65536.0,,65536.0,11711.811753963559,25090.184155983865,11711.811753963559,19374.953989259426,11567.224164581883,11567.224164581883,65536.0,,65536.0,9199.190959617388,19707.398881296172,9199.190959617388,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,,65536.0,9694.279210206667,15576.096062429204,9694.279210206667,12028.055476087276,12028.055476087276,12028.055476087276,65536.0,,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,
Frequencies total0,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,55556.0,4008.780392160461,7791.268785975493,(undefined),65536.0,16710.51552986416,21639.78802367515,(undefined),65536.0,9593.156930189685,12422.949420286403,(undefined),55556.0,4008.780392160461,7791.268785975493,(undefined),65536.0,27367.011716168163,35439.74112395846,(undefined),40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,65536.0,1665.3274663306674,2156.5388904549823,1665.3274663306674,1665.3274663306674,1665.3274663306674,5000.0,65536.0,799.9458462648138,1035.8898835554728,799.9458462648138,799.9458462648138,799.9458462648138,2500.0,65536.0,16710.51552986416,21639.78802367515,(undefined),65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,65536.0,6730.4056930636125,8715.603141048894,6730.4056930636125,6730.4056930636125,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,9186.154016285951,17853.755975294425,9186.154016285951,9186.154016285951,9186.154016285951,9186.154016285951,65536.0,17853.755975294425,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total1,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,55556.0,4008.780392160461,7791.268785975493,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,55556.0,4008.780392160461,7791.268785975493,,65536.0,27367.011716168163,35439.74112395846,,40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,65536.0,1665.3274663306674,2156.5388904549823,1665.3274663306674,1665.3274663306674,1665.3274663306674,5000.0,65536.0,799.9458462648138,1035.8898835554728,799.9458462648138,799.9458462648138,799.9458462648138,2500.0,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,65536.0,6730.4056930636125,8715.603141048894,6730.4056930636125,6730.4056930636125,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,9186.154016285951,17853.755975294425,9186.154016285951,9186.154016285951,9186.154016285951,9186.154016285951,65536.0,17853.755975294425,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total2,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,55556.0,4008.780392160461,7791.268785975493,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,55556.0,4008.780392160461,7791.268785975493,,65536.0,27367.011716168163,35439.74112395846,,40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,65536.0,1665.3274663306674,2156.5388904549823,1665.3274663306674,1665.3274663306674,1665.3274663306674,5000.0,65536.0,799.9458462648138,1035.8898835554728,799.9458462648138,799.9458462648138,799.9458462648138,2500.0,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,65536.0,6730.4056930636125,8715.603141048894,6730.4056930636125,6730.4056930636125,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,9186.154016285951,17853.755975294425,9186.154016285951,9186.154016285951,9186.154016285951,9186.154016285951,65536.0,17853.755975294425,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total3,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,55556.0,4008.780392160461,7791.268785975493,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,55556.0,4008.780392160461,7791.268785975493,,65536.0,27367.011716168163,35439.74112395846,,40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,65536.0,1665.3274663306674,2156.5388904549823,1665.3274663306674,1665.3274663306674,1665.3274663306674,5000.0,65536.0,799.9458462648138,1035.8898835554728,799.9458462648138,799.9458462648138,799.9458462648138,2500.0,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,65536.0,6730.4056930636125,8715.603141048894,6730.4056930636125,6730.4056930636125,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,9186.154016285951,17853.755975294425,9186.154016285951,9186.154016285951,9186.154016285951,9186.154016285951,65536.0,17853.755975294425,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
