On-the-fly kernels,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536
Baseline fraction [per bin]7 [%],5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615
Baseline fraction [per bin]8 [%],1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655
Baseline fraction [per bin]9 [%],1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513
Baseline fraction [per bin]10 [%],0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637
Baseline fraction [per bin]11 [%],0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273
-- Image --,,,,,,,
Facet FoV size [deg],(undefined),1.3495802123537413,4.165371025783151,1.3495802123537413,0.9464910650185262,0.9996890461879564,1.2496113077349453
Total FoV size [deg],4.165371025783151,11.246501769614511,4.165371025783151,11.246501769614511,3.9437127709105257,4.165371025783151,4.165371025783151
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),1.6563593637824205,1.7494558308289236,1.7494558308289236
PSF size [arcs],0.6554638162196987,0.6554638162196987,0.6554638162196987,0.6554638162196987,0.6536814113146615,0.6554638162196987,0.6554638162196987
Pixel size [arcs],0.13109276324393976,0.13109276324393976,0.2184879387398996,0.13109276324393976,0.1307362822629323,0.13109276324393976,0.13109276324393976
Facet side length [pixels],(undefined),37061.45666815113,68632.32716324282,37061.45666815113,26062.909049332717,27452.93086529713,34316.16358162141
Image side length [pixels],114387.21193873804,308845.4722345928,68632.32716324282,308845.4722345928,108595.45437221964,114387.21193873804,114387.21193873804
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),45610.090836332245,48042.62901426997,48042.62901426997
Grid side dimension [lambda],1573426.336763343,1573426.336763343,944055.8020580058,1573426.336763343,1577716.6267606087,1573426.336763343,1573426.336763343
Baselines dimension [lambda],944055.8020580058,944055.8020580058,944055.8020580058,944055.8020580058,946629.9760563653,944055.8020580058,944055.8020580058
Epsilon (approx),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637
Qbw,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Station/antenna diameter,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],5.880000000000001,2.1,1.0,2.1,6.0200000000000005,5.880000000000001,3.22
Coalesce time full1 [s],3.9200000000000004,1.4000000000000001,1.0,1.4000000000000001,4.0600000000000005,3.9200000000000004,2.1
Coalesce time full2 [s],2.9400000000000004,0.9800000000000001,1.0,0.9800000000000001,2.9400000000000004,2.9400000000000004,1.54
Coalesce time full3 [s],1.9600000000000002,0.7000000000000001,1.0,0.7000000000000001,1.9600000000000002,1.9600000000000002,0.9800000000000001
Coalesce time full4 [s],1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,0.56
Coalesce time full5 [s],0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.42000000000000004
Coalesce time full6 [s],0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.28
Coalesce time full7 [s],0.28,0.14,0.28,0.14,0.28,0.28,0.14
Coalesce time full8 [s],0.28,0.14,0.14,0.14,0.28,0.28,0.14
Coalesce time full9 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time full10 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time full11 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0
Coalesce time pred1 [s],,10.0,1.0,10.0,10.0,10.0,7.280000000000001
Coalesce time pred2 [s],,9.24,1.0,9.24,10.0,10.0,5.460000000000001
Coalesce time pred3 [s],,6.16,1.0,6.16,8.540000000000001,8.260000000000002,3.6400000000000006
Coalesce time pred4 [s],,3.6400000000000006,0.8400000000000001,3.6400000000000006,5.040000000000001,4.9,2.1
Coalesce time pred5 [s],,2.5200000000000005,0.56,2.5200000000000005,3.6400000000000006,3.5000000000000004,1.54
Coalesce time pred6 [s],,1.6800000000000002,0.42000000000000004,1.6800000000000002,2.24,2.24,0.9800000000000001
Coalesce time pred7 [s],,1.12,0.28,1.12,1.6800000000000002,1.54,0.7000000000000001
Coalesce time pred8 [s],,0.9800000000000001,0.14,0.9800000000000001,1.4000000000000001,1.2600000000000002,0.56
Coalesce time pred9 [s],,0.8400000000000001,0.14,0.8400000000000001,1.12,1.12,0.42000000000000004
Coalesce time pred10 [s],,0.7000000000000001,0.14,0.7000000000000001,0.9800000000000001,0.8400000000000001,0.42000000000000004
Coalesce time pred11 [s],,0.56,0.14,0.56,0.8400000000000001,0.7000000000000001,0.28
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.280000000000001
Coalesce time bw2 [s],,9.24,1.0,9.24,10.0,10.0,5.460000000000001
Coalesce time bw3 [s],,6.16,1.0,6.16,8.540000000000001,8.260000000000002,3.6400000000000006
Coalesce time bw4 [s],,3.6400000000000006,0.8400000000000001,3.6400000000000006,5.040000000000001,4.9,2.1
Coalesce time bw5 [s],,2.5200000000000005,0.56,2.5200000000000005,3.6400000000000006,3.5000000000000004,1.54
Coalesce time bw6 [s],,1.6800000000000002,0.42000000000000004,1.6800000000000002,2.24,2.24,0.9800000000000001
Coalesce time bw7 [s],,1.12,0.28,1.12,1.6800000000000002,1.54,0.7000000000000001
Coalesce time bw8 [s],,0.9800000000000001,0.14,0.9800000000000001,1.4000000000000001,1.2600000000000002,0.56
Coalesce time bw9 [s],,0.8400000000000001,0.14,0.8400000000000001,1.12,1.12,0.42000000000000004
Coalesce time bw10 [s],,0.7000000000000001,0.14,0.7000000000000001,0.9800000000000001,0.8400000000000001,0.42000000000000004
Coalesce time bw11 [s],,0.56,0.14,0.56,0.8400000000000001,0.7000000000000001,0.28
Combined samples full0,42.0,15.0,7.142857142857142,15.0,43.0,42.0,23.0
Combined samples full1,28.0,10.0,7.142857142857142,10.0,29.0,28.0,15.0
Combined samples full2,21.0,7.0,7.142857142857142,7.0,21.0,21.0,11.0
Combined samples full3,14.0,5.0,7.142857142857142,5.0,14.0,14.0,7.0
Combined samples full4,8.0,3.0,6.0,3.0,8.0,8.0,4.0
Combined samples full5,6.0,2.0,4.0,2.0,6.0,6.0,3.0
Combined samples full6,3.0,1.0,3.0,1.0,3.0,3.0,2.0
Combined samples full7,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Combined samples full8,2.0,1.0,1.0,1.0,2.0,2.0,1.0
Combined samples full9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,(undefined),132.0,7.142857142857142,132.0,183.0,178.0,78.0
Combined samples facet1,,88.0,7.142857142857142,88.0,122.0,118.0,52.0
Combined samples facet2,,66.0,7.142857142857142,66.0,91.0,89.0,39.0
Combined samples facet3,,44.0,7.142857142857142,44.0,61.0,59.0,26.0
Combined samples facet4,,26.0,6.0,26.0,36.0,35.0,15.0
Combined samples facet5,,18.0,4.0,18.0,26.0,25.0,11.0
Combined samples facet6,,12.0,3.0,12.0,16.0,16.0,7.0
Combined samples facet7,,8.0,2.0,8.0,12.0,11.0,5.0
Combined samples facet8,,7.0,1.0,7.0,10.0,9.0,4.0
Combined samples facet9,,6.0,1.0,6.0,8.0,8.0,3.0
Combined samples facet10,,5.0,1.0,5.0,7.0,6.0,3.0
Combined samples facet11,,4.0,1.0,4.0,6.0,5.0,2.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred5 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred6 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred7 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred8 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred9 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred10 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred11 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),3.484589573330542,110.45193308371326,3.484589573330542,2.4200758592394442,3.2955815425818855,268.7588337928472
Visibilities kernel pred1,,5.114692091941734,165.57322436944472,5.114692091941734,3.6289617172341346,3.897422487152215,362.83953772764863
Visibilities kernel pred2,,7.202310603812739,220.51127892244568,7.202310603812739,4.837847453359088,5.14110354793898,474.31035279453454
Visibilities kernel pred3,,15.354211149372459,329.2481645586568,15.354211149372459,8.496040753702413,9.109446534605674,680.5761053427665
Visibilities kernel pred4,,38.595077142230494,638.3952069179147,38.595077142230494,23.165214205341254,24.171528731315355,1070.0409308498552
Visibilities kernel pred5,,69.7190952137163,1278.0011540908015,69.7190952137163,42.42591953304129,44.51487130855349,1322.0732626356041
Visibilities kernel pred6,,134.33497203831635,2250.4721968715608,134.33497203831635,96.38261351121331,96.32592837597001,1731.2647368035296
Visibilities kernel pred7,,232.13511394789506,3626.188743502028,232.13511394789506,156.6335852048232,169.56469287733904,2071.274052102353
Visibilities kernel pred8,,285.55525435950943,7205.740747723669,285.55525435950943,208.48303790403813,228.94059837918533,2335.620372422397
Visibilities kernel pred9,,358.80339912287604,6919.391636504631,358.80339912287604,289.0521809910198,284.4803811687768,2758.8297765425355
Visibilities kernel pred10,,455.91122130226137,6559.336337962085,455.91122130226137,357.319478238951,408.98565561205436,2480.9938499124664
Visibilities kernel pred11,,596.8646576684652,6203.842541238596,596.8646576684652,443.60536554047405,520.9877181482838,3387.056324572475
Visibilities kernel bw0,(undefined),3.484589573330542,110.45193308371326,3.484589573330542,2.4200758592394442,3.2955815425818855,268.7588337928472
Visibilities kernel bw1,,5.114692091941734,165.57322436944472,5.114692091941734,3.6289617172341346,3.897422487152215,362.83953772764863
Visibilities kernel bw2,,7.202310603812739,220.51127892244568,7.202310603812739,4.837847453359088,5.14110354793898,474.31035279453454
Visibilities kernel bw3,,15.354211149372459,329.2481645586568,15.354211149372459,8.496040753702413,9.109446534605674,680.5761053427665
Visibilities kernel bw4,,38.595077142230494,638.3952069179147,38.595077142230494,23.165214205341254,24.171528731315355,1070.0409308498552
Visibilities kernel bw5,,69.7190952137163,1278.0011540908015,69.7190952137163,42.42591953304129,44.51487130855349,1322.0732626356041
Visibilities kernel bw6,,134.33497203831635,2250.4721968715608,134.33497203831635,96.38261351121331,96.32592837597001,1731.2647368035296
Visibilities kernel bw7,,232.13511394789506,3626.188743502028,232.13511394789506,156.6335852048232,169.56469287733904,2071.274052102353
Visibilities kernel bw8,,285.55525435950943,7205.740747723669,285.55525435950943,208.48303790403813,228.94059837918533,2335.620372422397
Visibilities kernel bw9,,358.80339912287604,6919.391636504631,358.80339912287604,289.0521809910198,284.4803811687768,2758.8297765425355
Visibilities kernel bw10,,455.91122130226137,6559.336337962085,455.91122130226137,357.319478238951,408.98565561205436,2480.9938499124664
Visibilities kernel bw11,,596.8646576684652,6203.842541238596,596.8646576684652,443.60536554047405,520.9877181482838,3387.056324572475
Oversampling used pred0,(undefined),3.4174727149277757,52.76036227205407,3.4174727149277757,2.3932855852767787,3.2368761823644476,63.0709818187185
Oversampling used pred1,,4.952920312245489,59.28203840135187,4.952920312245489,3.5550581384511517,3.8100687840895375,63.78886203126457
Oversampling used pred2,,6.862621056090127,62.01386061412337,6.862621056090127,4.6949220004986,4.977475072648652,63.96351031518462
Oversampling used pred3,,13.74653573222271,63.64164621102805,13.74653573222271,8.01496623866398,8.553185302839807,63.99858280025877
Oversampling used pred4,,29.14927183285363,63.99724625237396,29.14927183285363,19.56315263778987,20.26182806702068,63.999996925915625
Oversampling used pred5,,42.65277222929578,63.99999988375146,42.65277222929578,31.189632169005407,32.25145175895512,63.99999994192895
Oversampling used pred6,,56.283753891540755,63.99999999999997,56.283753891540755,49.97256183841553,49.96003398504492,63.99999999990767
Oversampling used pred7,,62.34609948929719,64.0,62.34609948929719,58.568792579078206,59.56947640207855,63.99999999999957
Oversampling used pred8,,63.28690668918448,64.0,63.28690668918448,61.599642269443855,62.26076594926111,63.99999999999999
Oversampling used pred9,,63.77500586131571,64.0,63.77500586131571,63.325115588709636,63.27473306792576,64.0
Oversampling used pred10,,63.951246075172094,64.0,63.951246075172094,63.76968598339136,63.89791699438182,64.0
Oversampling used pred11,,63.99470374126778,64.0,63.99470374126778,63.940820055282586,63.98250460329451,64.0
Oversampling used bw0,(undefined),3.4174727149277757,52.76036227205407,3.4174727149277757,2.3932855852767787,3.2368761823644476,63.0709818187185
Oversampling used bw1,,4.952920312245489,59.28203840135187,4.952920312245489,3.5550581384511517,3.8100687840895375,63.78886203126457
Oversampling used bw2,,6.862621056090127,62.01386061412337,6.862621056090127,4.6949220004986,4.977475072648652,63.96351031518462
Oversampling used bw3,,13.74653573222271,63.64164621102805,13.74653573222271,8.01496623866398,8.553185302839807,63.99858280025877
Oversampling used bw4,,29.14927183285363,63.99724625237396,29.14927183285363,19.56315263778987,20.26182806702068,63.999996925915625
Oversampling used bw5,,42.65277222929578,63.99999988375146,42.65277222929578,31.189632169005407,32.25145175895512,63.99999994192895
Oversampling used bw6,,56.283753891540755,63.99999999999997,56.283753891540755,49.97256183841553,49.96003398504492,63.99999999990767
Oversampling used bw7,,62.34609948929719,64.0,62.34609948929719,58.568792579078206,59.56947640207855,63.99999999999957
Oversampling used bw8,,63.28690668918448,64.0,63.28690668918448,61.599642269443855,62.26076594926111,63.99999999999999
Oversampling used bw9,,63.77500586131571,64.0,63.77500586131571,63.325115588709636,63.27473306792576,64.0
Oversampling used bw10,,63.951246075172094,64.0,63.951246075172094,63.76968598339136,63.89791699438182,64.0
Oversampling used bw11,,63.99470374126778,64.0,63.99470374126778,63.940820055282586,63.98250460329451,64.0
-- Channelization --,,,,,,,
"Channels predict, no-smear0",(undefined),171.86527457037138,686.5678535110338,171.86527457037138,96.80303436957776,127.3382372837081,289.9229631066787
"Channels predict, no-smear1",,257.73883723579485,1029.7926887245121,257.73883723579485,145.15846868936538,190.94828919770725,434.82536084880485
"Channels predict, no-smear2",,343.6123953890436,1373.0175228073604,343.6123953890436,193.5138981343635,254.55833502346346,579.727755914988
"Channels predict, no-smear3",,515.3595071815196,2059.467189842739,515.3595071815196,290.2247521464745,381.77842058296557,869.5325433713158
"Channels predict, no-smear4",,858.8537253472967,3432.366522554794,858.8537253472967,483.6464543146965,636.2185843884657,1449.1421150720817
"Channels predict, no-smear5",,1202.3479414487274,4805.265854754485,1202.3479414487274,677.068154251127,890.6587454068706,2028.7516855481535
"Channels predict, no-smear6",,1889.3363719604429,7551.064518736334,1889.3363719604429,1063.9115522977854,1399.5390651618502,3187.9708254970064
"Channels predict, no-smear7",,2576.324801720041,10296.863182470935,2576.324801720041,1450.7549495332357,1908.41938390615,4347.189965013041
"Channels predict, no-smear8",,3091.5661238519633,12356.212180253136,3091.5661238519633,1740.887497252959,2290.0796227009537,5216.604319513566
"Channels predict, no-smear9",,3778.5545532288575,15102.010844008662,3778.5545532288575,2127.7308940722924,2798.9599409291745,6375.823458815093
"Channels predict, no-smear10",,4465.542982529692,17847.80950767937,4465.542982529692,2514.57429080469,3307.8402590364117,7535.042598013985
"Channels predict, no-smear11",,5152.531411762239,20593.608171231197,5152.531411762239,2901.4176874826626,3816.7205770833043,8694.261737243818
"Channels backward, no-smear0",(undefined),171.86527457037138,686.5678535110338,171.86527457037138,96.80303436957776,127.3382372837081,289.9229631066787
"Channels backward, no-smear1",,257.73883723579485,1029.7926887245121,257.73883723579485,145.15846868936538,190.94828919770725,434.82536084880485
"Channels backward, no-smear2",,343.6123953890436,1373.0175228073604,343.6123953890436,193.5138981343635,254.55833502346346,579.727755914988
"Channels backward, no-smear3",,515.3595071815196,2059.467189842739,515.3595071815196,290.2247521464745,381.77842058296557,869.5325433713158
"Channels backward, no-smear4",,858.8537253472967,3432.366522554794,858.8537253472967,483.6464543146965,636.2185843884657,1449.1421150720817
"Channels backward, no-smear5",,1202.3479414487274,4805.265854754485,1202.3479414487274,677.068154251127,890.6587454068706,2028.7516855481535
"Channels backward, no-smear6",,1889.3363719604429,7551.064518736334,1889.3363719604429,1063.9115522977854,1399.5390651618502,3187.9708254970064
"Channels backward, no-smear7",,2576.324801720041,10296.863182470935,2576.324801720041,1450.7549495332357,1908.41938390615,4347.189965013041
"Channels backward, no-smear8",,3091.5661238519633,12356.212180253136,3091.5661238519633,1740.887497252959,2290.0796227009537,5216.604319513566
"Channels backward, no-smear9",,3778.5545532288575,15102.010844008662,3778.5545532288575,2127.7308940722924,2798.9599409291745,6375.823458815093
"Channels backward, no-smear10",,4465.542982529692,17847.80950767937,4465.542982529692,2514.57429080469,3307.8402590364117,7535.042598013985
"Channels backward, no-smear11",,5152.531411762239,20593.608171231197,5152.531411762239,2901.4176874826626,3816.7205770833043,8694.261737243818
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,160.0,200.0
Frequencies predict kernels0,(undefined),49.32152580773063,62.15987663979345,49.32152580773063,40.0,48.54985316935895,89.29939031696581
Frequencies predict kernels1,,50.39185792667087,62.19560515574235,50.39185792667087,40.0,48.99347962074036,90.85843613817627
Frequencies predict kernels2,,51.632720003469046,62.26518341904197,51.632720003469046,40.0,49.51433727210445,92.67359166221947
Frequencies predict kernels3,,54.48815106516036,62.55060503080913,54.48815106516036,40.0,50.73870030934384,96.87978378385587
Frequencies predict kernels4,,61.13443555905941,64.00659932608862,61.13443555905941,41.42486973256077,53.716307673168785,106.80499314633273
Frequencies predict kernels5,,68.43493845194403,67.14259886247713,68.43493845194403,43.84294712563926,57.16604805958608,117.87860797780185
Frequencies predict kernels6,,83.71647131388961,79.88867878307055,83.71647131388961,49.27865069392381,64.86251791729916,141.45610083633636
Frequencies predict kernels7,,99.09272071833443,101.41367139773389,99.09272071833443,55.13151037743158,73.08321945708771,165.52958914786828
Frequencies predict kernels8,,110.47456707210009,122.48381050658935,110.47456707210009,59.64471172176418,79.38843188790085,183.49361635638337
Frequencies predict kernels9,,125.36891347826587,155.89738476361944,125.36891347826587,65.72376379714228,87.84687947767367,207.12715814772238
Frequencies predict kernels10,,139.92520516774385,194.35556748091562,139.92520516774385,71.80946715024247,96.28467444385787,230.32244576048927
Frequencies predict kernels11,,154.15469539639238,237.10660005518457,154.15469539639238,77.86354593268446,104.65617091015532,253.0642466511236
Frequencies predict de-grid0,65536.0,171.86527457037138,686.5678535110338,171.86527457037138,96.80303436957776,160.0,24000.0
Frequencies predict de-grid1,65536.0,257.73883723579485,1029.7926887245121,257.73883723579485,145.15846868936538,190.94828919770725,24000.0
Frequencies predict de-grid2,65536.0,343.6123953890436,1373.0175228073604,343.6123953890436,193.5138981343635,254.55833502346346,24000.0
Frequencies predict de-grid3,65536.0,515.3595071815196,2059.467189842739,515.3595071815196,290.2247521464745,381.77842058296557,24000.0
Frequencies predict de-grid4,65536.0,858.8537253472967,3432.366522554794,858.8537253472967,483.6464543146965,636.2185843884657,24000.0
Frequencies predict de-grid5,65536.0,1202.3479414487274,4805.265854754485,1202.3479414487274,677.068154251127,890.6587454068706,24000.0
Frequencies predict de-grid6,65536.0,1889.3363719604429,7551.064518736334,1889.3363719604429,1063.9115522977854,1399.5390651618502,24000.0
Frequencies predict de-grid7,65536.0,2576.324801720041,10296.863182470935,2576.324801720041,1450.7549495332357,1908.41938390615,24000.0
