,ICAL (all_custom_options.yml),ICAL (hpso_max_mid_band1_ICal.yml),DPrepD (hpso01_DPrepD.yml),ICAL (hpso01_ICal.yml)
-- Parameters --,,,,
Observation Name,obs_1,max_mid_band1,hpso01,hpso01
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low
Band,Mid1,Mid1,Low,Low
Combined samples full9,1.0,1.0,,
Combined samples full10,1.0,,,
Combined samples full11,1.0,,,
Combined samples facet0,48.0,39.0,(undefined),12.0
Combined samples facet1,24.0,19.0,,6.0
Combined samples facet2,16.0,13.0,,3.0
Combined samples facet3,12.0,9.0,,1.0
Combined samples facet4,9.0,7.0,,1.0
Combined samples facet5,8.0,6.0,,
Combined samples facet6,6.0,5.0,,
Combined samples facet7,6.0,4.0,,
Combined samples facet8,5.0,4.0,,
Combined samples facet9,4.0,3.0,,
Combined samples facet10,4.0,,,
Combined samples facet11,4.0,,,
Kernel time pred0 [s],10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0
Kernel time pred5 [s],10.0,10.0,,
Kernel time pred6 [s],10.0,10.0,,
Kernel time pred7 [s],10.0,10.0,,
Kernel time pred8 [s],10.0,10.0,,
Kernel time pred9 [s],10.0,10.0,,
Kernel time pred10 [s],10.0,,,
Kernel time pred11 [s],10.0,,,
Kernel time backward0 [s],10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0
Kernel time backward5 [s],10.0,10.0,,
Kernel time backward6 [s],10.0,10.0,,
Kernel time backward7 [s],10.0,10.0,,
Kernel time backward8 [s],10.0,10.0,,
Kernel time backward9 [s],10.0,10.0,,
Kernel time backward10 [s],10.0,,,
Kernel time backward11 [s],10.0,,,
Visibilities kernel pred0,229.42728413528363,17.372321491829283,(undefined),6.017714258947549
Visibilities kernel pred1,426.14725708001527,71.31068262060417,,22.283145065870304
Visibilities kernel pred2,588.7862632360585,156.3296460209274,,89.12320823268988
Visibilities kernel pred3,722.6941530540656,301.0742028855284,,534.7111318249608
Visibilities kernel pred4,889.5295577086825,483.8643219082185,,1069.3941453400512
Visibilities kernel pred5,927.6275923368273,677.4054467656708,,
Visibilities kernel pred6,1151.691277372081,948.3630215455687,,
Visibilities kernel pred7,1077.205035163662,1354.7993837023691,,
Visibilities kernel pred8,1214.1470629696207,1524.1449904624506,,
Visibilities kernel pred9,1431.0716829661576,2257.987462966487,,
Visibilities kernel pred10,1354.2001531869519,,,
Visibilities kernel pred11,1285.5961620968922,,,
Visibilities kernel bw0,229.42728413528363,17.372321491829283,(undefined),6.017714258947549
Visibilities kernel bw1,426.14725708001527,71.31068262060417,,22.283145065870304
Visibilities kernel bw2,588.7862632360585,156.3296460209274,,89.12320823268988
Visibilities kernel bw3,722.6941530540656,301.0742028855284,,534.7111318249608
Visibilities kernel bw4,889.5295577086825,483.8643219082185,,1069.3941453400512
Visibilities kernel bw5,927.6275923368273,677.4054467656708,,
Visibilities kernel bw6,1151.691277372081,948.3630215455687,,
Visibilities kernel bw7,1077.205035163662,1354.7993837023691,,
Visibilities kernel bw8,1214.1470629696207,1524.1449904624506,,
Visibilities kernel bw9,1431.0716829661576,2257.987462966487,,
Visibilities kernel bw10,1354.2001531869519,,,
Visibilities kernel bw11,1285.5961620968922,,,
Oversampling used pred0,62.27404535539553,15.31857389745285,(undefined),5.786693007965496
Oversampling used pred1,63.922092732839346,43.181188067273034,,18.941566912382555
Oversampling used pred2,63.99398520594083,58.54273355593339,,48.27362898160159
Oversampling used pred3,63.99926992436363,63.44152249431109,,63.98590504991089
Oversampling used pred4,63.99994723940355,63.968607459632246,,63.999996894443576
Oversampling used pred5,63.99997104383358,63.99851023919351,,
Oversampling used pred6,63.99999915028282,63.99997911075898,,
Oversampling used pred7,63.99999725389314,63.99999996531579,,
Oversampling used pred8,63.99999968223009,63.99999999759062,,
Oversampling used pred9,63.99999998956546,63.99999999999998,,
Oversampling used pred10,63.99999996498693,,,
Oversampling used pred11,63.99999989685646,,,
Oversampling used bw0,62.27404535539553,15.31857389745285,(undefined),5.786693007965496
Oversampling used bw1,63.922092732839346,43.181188067273034,,18.941566912382555
Oversampling used bw2,63.99398520594083,58.54273355593339,,48.27362898160159
Oversampling used bw3,63.99926992436363,63.44152249431109,,63.98590504991089
Oversampling used bw4,63.99994723940355,63.968607459632246,,63.999996894443576
Oversampling used bw5,63.99997104383358,63.99851023919351,,
Oversampling used bw6,63.99999915028282,63.99997911075898,,
Oversampling used bw7,63.99999725389314,63.99999996531579,,
Oversampling used bw8,63.99999968223009,63.99999999759062,,
Oversampling used bw9,63.99999998956546,63.99999999999998,,
Oversampling used bw10,63.99999996498693,,,
Oversampling used bw11,63.99999989685646,,,
-- Channelization --,,,,
"Channels predict, no-smear0",2181.003501415639,2694.5007419213202,(undefined),1648.215074483811
"Channels predict, no-smear1",4361.4577658579865,5388.452233690645,,3295.7371475272034
"Channels predict, no-smear2",6541.91201492869,8082.403713013702,,6590.78122076136
"Channels predict, no-smear3",8722.366260162242,10776.355189223254,,13180.869330776477
"Channels predict, no-smear4",10902.82050385563,13470.30666420023,,26361.045532597625
"Channels predict, no-smear5",13083.274746791873,16164.25813857557,,
"Channels predict, no-smear6",15263.72898924562,18858.209612542567,,
"Channels predict, no-smear7",17444.18323147672,21552.161086302018,,
"Channels predict, no-smear8",19624.637473470022,24246.112559897192,,
"Channels predict, no-smear9",21805.091715404385,26940.06403352948,,
"Channels predict, no-smear10",23985.545957221544,,,
"Channels predict, no-smear11",26166.000198901555,,,
"Channels backward, no-smear0",2181.003501415639,2694.5007419213202,(undefined),1648.215074483811
"Channels backward, no-smear1",4361.4577658579865,5388.452233690645,,3295.7371475272034
"Channels backward, no-smear2",6541.91201492869,8082.403713013702,,6590.78122076136
"Channels backward, no-smear3",8722.366260162242,10776.355189223254,,13180.869330776477
"Channels backward, no-smear4",10902.82050385563,13470.30666420023,,26361.045532597625
"Channels backward, no-smear5",13083.274746791873,16164.25813857557,,
"Channels backward, no-smear6",15263.72898924562,18858.209612542567,,
"Channels backward, no-smear7",17444.18323147672,21552.161086302018,,
"Channels backward, no-smear8",19624.637473470022,24246.112559897192,,
"Channels backward, no-smear9",21805.091715404385,26940.06403352948,,
"Channels backward, no-smear10",23985.545957221544,,,
"Channels backward, no-smear11",26166.000198901555,,,
Frequencies predict ifft,65536.0,200.0,32768.0,200.0
Frequencies predict kernels0,425.0750292903429,284.0715932026131,(undefined),273.89387457756607
Frequencies predict kernels1,457.70004571681676,284.0715932026131,,273.89387457756607
Frequencies predict kernels2,496.90600280551996,284.0715932026131,,273.89387457756607
Frequencies predict kernels3,539.7791533897391,284.0715932026131,,273.89387457756607
Frequencies predict kernels4,584.7214177646513,284.0715932026131,,273.89387457756607
Frequencies predict kernels5,630.7950108176473,284.0715932026131,,
Frequencies predict kernels6,677.4302206844076,284.0715932026131,,
Frequencies predict kernels7,724.2729570716685,284.0715932026131,,
Frequencies predict kernels8,771.0998115324657,284.0715932026131,,
Frequencies predict kernels9,817.7687590464254,284.0715932026131,,
Frequencies predict kernels10,864.1896188917003,,,
Frequencies predict kernels11,910.3058555937978,,,
Frequencies predict de-grid0,65536.0,2694.5007419213202,(undefined),1648.215074483811
Frequencies predict de-grid1,65536.0,5388.452233690645,,3295.7371475272034
Frequencies predict de-grid2,65536.0,8082.403713013702,,6590.78122076136
Frequencies predict de-grid3,65536.0,10776.355189223254,,13180.869330776477
Frequencies predict de-grid4,65536.0,13470.30666420023,,26361.045532597625
Frequencies predict de-grid5,65536.0,16164.25813857557,,
Frequencies predict de-grid6,65536.0,18858.209612542567,,
Frequencies predict de-grid7,65536.0,21552.161086302018,,
Frequencies predict de-grid8,65536.0,24246.112559897192,,
Frequencies predict de-grid9,65536.0,26940.06403352948,,
Frequencies predict de-grid10,65536.0,,,
Frequencies predict de-grid11,65536.0,,,
Frequencies total0,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total1,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total2,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total3,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total4,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total5,65536.0,65536.0,,
Frequencies total6,65536.0,65536.0,,
Frequencies total7,65536.0,65536.0,,
Frequencies total8,65536.0,65536.0,,
Frequencies total9,65536.0,65536.0,,
Frequencies total10,65536.0,,,
Frequencies total11,65536.0,,,
Frequencies backward kernels0,425.0750292903429,284.0715932026131,(undefined),273.89387457756607
Frequencies backward kernels1,457.70004571681676,284.0715932026131,,273.89387457756607
Frequencies backward kernels2,496.90600280551996,284.0715932026131,,273.89387457756607
Frequencies backward kernels3,539.7791533897391,284.0715932026131,,273.89387457756607
Frequencies backward kernels4,584.7214177646513,284.0715932026131,,273.89387457756607
Frequencies backward kernels5,630.7950108176473,284.0715932026131,,
Frequencies backward kernels6,677.4302206844076,284.0715932026131,,
Frequencies backward kernels7,724.2729570716685,284.0715932026131,,
Frequencies backward kernels8,771.0998115324657,284.0715932026131,,
Frequencies backward kernels9,817.7687590464254,284.0715932026131,,
Frequencies backward kernels10,864.1896188917003,,,
Frequencies backward kernels11,910.3058555937978,,,
Frequencies backward grid0,65536.0,2694.5007419213202,(undefined),1648.215074483811
Frequencies backward grid1,65536.0,5388.452233690645,,3295.7371475272034
Frequencies backward grid2,65536.0,8082.403713013702,,6590.78122076136
Frequencies backward grid3,65536.0,10776.355189223254,,13180.869330776477
Frequencies backward grid4,65536.0,13470.30666420023,,26361.045532597625
Frequencies backward grid5,65536.0,16164.25813857557,,
Frequencies backward grid6,65536.0,18858.209612542567,,
Frequencies backward grid7,65536.0,21552.161086302018,,
Frequencies backward grid8,65536.0,24246.112559897192,,
Frequencies backward grid9,65536.0,26940.06403352948,,
Frequencies backward grid10,65536.0,,,
Frequencies backward grid11,65536.0,,,
Frequencies backward fft,65536,40,8192,40
Channels out,65536,40,8192,40
-- Visibility --,,,,
Ingest rate [M/s],9129.632914285712,9129.632914285716,4781.50656,4781.50656
Averaged rate0 [M/s],6503.7918250867815,6726.203712553753,1277.106248403254,1774.059356819092
Averaged rate1 [M/s],790.8498482772912,758.0733595979481,360.4463235445622,500.7047563307835
Averaged rate2 [M/s],478.0684991658463,490.7108590850214,407.7746765574224,566.449722820674
Averaged rate3 [M/s],375.0566776021967,470.10849477229146,512.7027313891663,712.2078362899492
Averaged rate4 [M/s],323.08253126780994,280.941331537226,200.25967489244863,278.18558595315744
Averaged rate5 [M/s],258.4660250142479,74.44945285736489,,
Averaged rate6 [M/s],47.29179080876637,218.66600304647426,,
Averaged rate7 [M/s],236.45895404383188,7.491768840992695,,
Averaged rate8 [M/s],11.705888814051084,7.491768840992695,,
Averaged rate9 [M/s],5.61882663074452,3.2776488679343037,,
Averaged rate10 [M/s],4.682355525620434,,,
Averaged rate11 [M/s],2.341177762810217,,,
Predict rate0 [M/s],135.49566302264128,7.090939602500729,(undefined),9.98301920229312
Predict rate1 [M/s],32.952077011553804,3.2805128300933317,,10.43326893934158
Predict rate2 [M/s],29.879281197865392,4.655249104995634,,47.207867015433585
Predict rate3 [M/s],31.254723133516393,8.58909796335401,,356.1132814282506
Predict rate4 [M/s],35.89805902975665,8.249262979682227,,278.18558595315744
Predict rate5 [M/s],32.30825312678099,3.060455765437212,,
Predict rate6 [M/s],7.881965134794396,12.584379030112558,,
Predict rate7 [M/s],39.40982567397198,0.6159355502411374,,
Predict rate8 [M/s],2.341177762810217,0.6929255317361427,,
Predict rate9 [M/s],1.40470665768613,0.44911738271878837,,
Predict rate10 [M/s],1.1705888814051084,,,
Predict rate11 [M/s],0.5852944407025542,,,
Backward rate0 [M/s],135.49566302264128,7.090939602500729,(undefined),9.98301920229312
Backward rate1 [M/s],32.952077011553804,3.2805128300933317,,10.43326893934158
Backward rate2 [M/s],29.879281197865392,4.655249104995634,,47.207867015433585
Backward rate3 [M/s],31.254723133516393,8.58909796335401,,356.1132814282506
Backward rate4 [M/s],35.89805902975665,8.249262979682227,,278.18558595315744
Backward rate5 [M/s],32.30825312678099,3.060455765437212,,
Backward rate6 [M/s],7.881965134794396,12.584379030112558,,
Backward rate7 [M/s],39.40982567397198,0.6159355502411374,,
Backward rate8 [M/s],2.341177762810217,0.6929255317361427,,
Backward rate9 [M/s],1.40470665768613,0.44911738271878837,,
Backward rate10 [M/s],1.1705888814051084,,,
Backward rate11 [M/s],0.5852944407025542,,,
-- Kernel Sizes --,,,,
Delta W earth0 [lambda],5.362593335306626,7.619515816777114,0.08631221653969713,0.08631221653969713
Delta W earth1 [lambda],21.450373341226506,30.478063267108457,0.3452488661587885,0.3452488661587885
Delta W earth2 [lambda],48.26334001775964,68.57564235099403,1.380995464635154,1.380995464635154
Delta W earth3 [lambda],85.80149336490602,121.91225306843383,5.523981858540616,5.523981858540616
Delta W earth4 [lambda],134.06483338266565,190.48789541942787,22.095927434162466,22.095927434162466
Delta W earth5 [lambda],193.05336007103855,274.3025694039761,,
Delta W earth6 [lambda],262.7670734300247,373.3562750220786,,
Delta W earth7 [lambda],343.2059734596241,487.6490122737353,,
Delta W earth8 [lambda],434.3700601598367,617.1807811589463,,
Delta W earth9 [lambda],536.2593335306626,761.9515816777115,,
Delta W earth10 [lambda],648.8737935721018,,,
Delta W earth11 [lambda],772.2134402841542,,,
Delta W snapshot0 [lambda],478.72356601420955,570.6384906889377,23.70821469784657,23.70821469784657
Delta W snapshot1 [lambda],957.4471320284191,1141.2769813778755,47.41642939569314,47.41642939569314
Delta W snapshot2 [lambda],1436.1706980426286,1711.9154720668134,94.83285879138629,94.83285879138629
Delta W snapshot3 [lambda],1914.8942640568382,2282.553962755751,189.66571758277257,189.66571758277257
Delta W snapshot4 [lambda],2393.6178300710476,2853.192453444689,379.33143516554514,379.33143516554514
Delta W snapshot5 [lambda],2872.341396085257,3423.830944133627,,
Delta W snapshot6 [lambda],3351.064962099467,3994.4694348225644,,
Delta W snapshot7 [lambda],3829.7885281136764,4565.107925511502,,
Delta W snapshot8 [lambda],4308.512094127886,5135.74641620044,,
Delta W snapshot9 [lambda],4787.235660142095,5706.384906889378,,
Delta W snapshot10 [lambda],5265.959226156305,,,
Delta W snapshot11 [lambda],5744.682792170514,,,
Delta W max0 [lambda],478.72356601420955,570.6384906889377,23.70821469784657,23.70821469784657
Delta W max1 [lambda],957.4471320284191,1141.2769813778755,47.41642939569314,47.41642939569314
Delta W max2 [lambda],1436.1706980426286,1711.9154720668134,94.83285879138629,94.83285879138629
Delta W max3 [lambda],1914.8942640568382,2282.553962755751,189.66571758277257,189.66571758277257
Delta W max4 [lambda],2393.6178300710476,2853.192453444689,379.33143516554514,379.33143516554514
Delta W max5 [lambda],2872.341396085257,3423.830944133627,,
Delta W max6 [lambda],3351.064962099467,3994.4694348225644,,
Delta W max7 [lambda],3829.7885281136764,4565.107925511502,,
Delta W max8 [lambda],4308.512094127886,5135.74641620044,,
Delta W max9 [lambda],4787.235660142095,5706.384906889378,,
Delta W max10 [lambda],5265.959226156305,,,
Delta W max11 [lambda],5744.682792170514,,,
Delta W stack [lambda],5744.682676691541,467.21081413555385,(undefined),2.26532806721066
Delta W theory [lambda],1966.0927086878667,550.6899252168332,(undefined),1.0
-- Kernel Sizes --,,,,
W kernel support pred0 [uv-pixels],2.7758388095516664,7.099313852321218,(undefined),9.571439561611815
W kernel support pred1 [uv-pixels],4.675815449608708,7.099313852321218,,9.571439561611815
W kernel support pred2 [uv-pixels],6.34533058062761,7.099313852321218,,9.571439561611815
W kernel support pred3 [uv-pixels],7.881389846752996,7.099313852321218,,9.571439561611815
W kernel support pred4 [uv-pixels],9.325587121659177,7.099313852321218,,9.571439561611815
W kernel support pred5 [uv-pixels],10.700766357211208,7.099313852321218,,
W kernel support pred6 [uv-pixels],12.021228943139839,7.099313852321218,,
W kernel support pred7 [uv-pixels],13.296699948663127,7.099313852321218,,
W kernel support pred8 [uv-pixels],14.534182994851363,7.099313852321218,,
W kernel support pred9 [uv-pixels],15.738939661641018,7.099313852321218,,
W kernel support pred10 [uv-pixels],16.915053438076377,,,
W kernel support pred11 [uv-pixels],18.06577609141466,,,
AW kernel support pred0 [uv-pixels],9.418348108697895,11.462995122295043,(undefined),13.138205938467696
AW kernel support pred1 [uv-pixels],10.14215214433305,11.462995122295043,,13.138205938467696
AW kernel support pred2 [uv-pixels],11.01195805374539,11.462995122295043,,13.138205938467696
AW kernel support pred3 [uv-pixels],11.963122749370301,11.462995122295043,,13.138205938467696
AW kernel support pred4 [uv-pixels],12.96019194162091,11.462995122295043,,13.138205938467696
AW kernel support pred5 [uv-pixels],13.982360338355726,11.462995122295043,,
AW kernel support pred6 [uv-pixels],15.016988556411135,11.462995122295043,,
AW kernel support pred7 [uv-pixels],16.056220897981508,11.462995122295043,,
AW kernel support pred8 [uv-pixels],17.095100915988375,11.462995122295043,,
AW kernel support pred9 [uv-pixels],18.13047770117425,11.462995122295043,,
AW kernel support pred10 [uv-pixels],19.160350539929578,,,
AW kernel support pred11 [uv-pixels],20.18346515802303,,,
W kernel support bw0 [uv-pixels],2.7758388095516664,7.099313852321218,(undefined),9.571439561611815
W kernel support bw1 [uv-pixels],4.675815449608708,7.099313852321218,,9.571439561611815
W kernel support bw2 [uv-pixels],6.34533058062761,7.099313852321218,,9.571439561611815
W kernel support bw3 [uv-pixels],7.881389846752996,7.099313852321218,,9.571439561611815
W kernel support bw4 [uv-pixels],9.325587121659177,7.099313852321218,,9.571439561611815
W kernel support bw5 [uv-pixels],10.700766357211208,7.099313852321218,,
W kernel support bw6 [uv-pixels],12.021228943139839,7.099313852321218,,
W kernel support bw7 [uv-pixels],13.296699948663127,7.099313852321218,,
W kernel support bw8 [uv-pixels],14.534182994851363,7.099313852321218,,
W kernel support bw9 [uv-pixels],15.738939661641018,7.099313852321218,,
W kernel support bw10 [uv-pixels],16.915053438076377,,,
W kernel support bw11 [uv-pixels],18.06577609141466,,,
AW kernel support bw0 [uv-pixels],9.418348108697895,11.462995122295043,(undefined),13.138205938467696
AW kernel support bw1 [uv-pixels],10.14215214433305,11.462995122295043,,13.138205938467696
AW kernel support bw2 [uv-pixels],11.01195805374539,11.462995122295043,,13.138205938467696
AW kernel support bw3 [uv-pixels],11.963122749370301,11.462995122295043,,13.138205938467696
AW kernel support bw4 [uv-pixels],12.96019194162091,11.462995122295043,,13.138205938467696
AW kernel support bw5 [uv-pixels],13.982360338355726,11.462995122295043,,
AW kernel support bw6 [uv-pixels],15.016988556411135,11.462995122295043,,
AW kernel support bw7 [uv-pixels],16.056220897981508,11.462995122295043,,
AW kernel support bw8 [uv-pixels],17.095100915988375,11.462995122295043,,
AW kernel support bw9 [uv-pixels],18.13047770117425,11.462995122295043,,
AW kernel support bw10 [uv-pixels],19.160350539929578,,,
AW kernel support bw11 [uv-pixels],20.18346515802303,,,
-- Data --,,,,
Snapshot vis size0 [GB],2.85811164188384,4842.866673038703,4.489826654542691,1277.3227369097463
Snapshot vis size1 [GB],0.34754143723123154,545.8128189105228,1.2671941062113519,360.50742455816413
Snapshot vis size2 [GB],0.21008869592249108,353.3118185412155,1.4335828472721885,407.8438004308853
Snapshot vis size3 [GB],0.16481982902440287,338.47811623604997,1.8024705400400383,512.7896421287635
Snapshot vis size4 [GB],0.1419796279985493,202.27775870680279,0.7040379195437649,200.29362188627337
Snapshot vis size5 [GB],0.11358370239883944,53.603606057302734,,
Snapshot vis size6 [GB],0.020782525257758665,157.4395221934615,,
Snapshot vis size7 [GB],0.10391262628879332,5.3940735655147405,,
Snapshot vis size8 [GB],0.005144189420237293,5.3940735655147405,,
Snapshot vis size9 [GB],0.002469210921713901,2.359907184912699,,
Snapshot vis size10 [GB],0.0020576757680949177,,,
Snapshot vis size11 [GB],0.0010288378840474588,,,
Facet size [GB],4.104620951067789,14.450267946949566,(undefined),19.62530054532742
Image size [GB],823.7746214295769,812.827572015913,2.692085122815833,19.625300545327423
Image cube size [GB],215947574.360035,130052.41152254608,176428.49060885844,6280.096174504775
Calibration output [GB],0.03958912,1.23608832,0.0,11.8784
Calibration process interval [s],600,600,600,600
Calibration process in [MB],1454.9001599999995,1454.9001600000004,0.0,31395.84
Calibration process out [MB],9.89728,9.89728,0.0,81.92
Cleaning memory [PetaBytes],0.30842121826323354,0.3043226429627578,(undefined),0.006378222677231412
Working (cache) memory [TeraBytes],0.05583643055879642,0.0009496948492550893,(undefined),7.183262341681829e-05
-- I/O --,,,,
Input Buffer Size [PetaBytes],0.2629334279314285,9.46560340553143,8.26244333568,8.26244333568
Total buffer ingest rate [TeraBytes/s],0.4382223798857141,0.43822237988571433,0.45902462976,0.45902462976
Output size [TB],0.0,0.0,205.755777024,0.0
Buffer Read Rate [TeraBytes/s],5.6393465856,4.337958911999999,3.177549682314455,3.6783429678851105
Facet visibility rate [TeraBytes/s],0.20193501028232733,0.021283722320056604,(undefined),0.6064614914732437
Image Write Rate [TeraBytes/s],6219.290141569009,2.8091320888869955,(undefined),0.09420144261757163
-- Compute --,,,,
